user,server,ilp_user,ilp_time,greedy_user,greedy_time,dqn_user,dqn_time,td3_user,td3_time,ddpg_user,ddpg_time
100.0,50.0,86.0,0.1132966000000124,86.0,0.016680600000086088,86.0,0.007964900000047237,86.0,0.011353099999951155,86.0,0.010471499999994194
100.0,50.0,90.0,0.1169264000000112,90.0,0.017283000000020365,90.0,0.008039499999995314,90.0,0.011965499999973872,90.0,0.009697400000050038
100.0,50.0,83.0,0.12011429999995471,83.0,0.01446320000002288,83.0,0.007996299999945222,83.0,0.01128700000003846,83.0,0.010936000000015156
100.0,50.0,84.0,0.19468810000000758,84.0,0.01604470000006586,84.0,0.007993000000055872,84.0,0.011027600000033999,84.0,0.011722599999984595
100.0,50.0,83.0,0.11497330000008787,83.0,0.016328999999927873,83.0,0.00808730000005653,83.0,0.01094039999998131,83.0,0.009498599999915314
100.0,50.0,81.0,0.11636029999999664,81.0,0.01590940000005503,81.0,0.007994599999960883,81.0,0.011524200000053497,81.0,0.010007700000073783
100.0,50.0,82.0,0.1168400000000247,82.0,0.01584719999993922,82.0,0.008102699999994911,82.0,0.011185399999931178,82.0,0.011927099999979873
100.0,50.0,77.0,0.12397090000001754,77.0,0.013900500000090688,77.0,0.008190799999965748,77.0,0.011214399999971647,77.0,0.010313399999972717
100.0,50.0,83.0,0.1199872999999343,83.0,0.01534520000006978,83.0,0.008182299999930365,83.0,0.010961099999917678,83.0,0.012392100000056416
100.0,50.0,87.0,0.11902299999997012,87.0,0.018866600000023936,87.0,0.008261199999992641,87.0,0.011979399999972884,87.0,0.010244699999930162
100.0,50.0,86.0,0.12059579999993275,86.0,0.015824099999917962,86.0,0.008299899999997251,86.0,0.011897699999963152,86.0,0.012157099999967613
100.0,50.0,79.0,0.18701079999993908,79.0,0.017884400000070855,79.0,0.008758499999999003,79.0,0.011666399999967325,79.0,0.012297100000068895
100.0,50.0,80.0,0.1164049999999861,80.0,0.015218800000070587,80.0,0.00812929999995049,80.0,0.011790600000040286,80.0,0.011772399999927075
200.0,50.0,149.0,0.2327161000000615,149.0,0.02733299999999872,150.0,0.008543899999949645,150.0,0.012781000000018139,150.0,0.011917699999912656
200.0,50.0,178.0,0.19461180000007516,176.0,0.03303060000007463,178.0,0.008342900000002373,178.0,0.013966699999969023,178.0,0.0114334999999528
200.0,50.0,166.0,0.23308930000007422,166.0,0.03240660000005846,166.0,0.008255000000076507,166.0,0.01120930000001863,166.0,0.01203490000000329
200.0,50.0,170.0,0.2413153999999622,169.0,0.030910700000049474,170.0,0.008410099999991871,170.0,0.011397299999998722,170.0,0.012062899999932597
200.0,50.0,170.0,0.30677239999999983,170.0,0.030089000000089072,170.0,0.008553600000027473,170.0,0.012913199999957214,169.0,0.010615999999913583
200.0,50.0,172.0,0.20092859999999746,171.0,0.029815200000030018,172.0,0.008511399999974856,172.0,0.0123499000000038,172.0,0.011185700000055476
200.0,50.0,171.0,0.19580819999998766,171.0,0.03176210000003721,171.0,0.008526999999958207,171.0,0.012068499999941196,171.0,0.011103499999990163
200.0,50.0,162.0,0.2335053000000471,162.0,0.030478300000027048,162.0,0.008607299999994211,162.0,0.011364499999899635,161.0,0.010994999999979882
